tweet,0,1,2
rt the entrance ramp dalrymple drive highway west open congestion remains minimal,0,1,0
well said amp i grateful strong efforts expand amp grow american agriculture,1,0,0
cleared traffic congestion manatee highway south beyond exit st east exit highway last updated,0,0,1
nb sb lincoln rd st ave roadway closed due structure fire allegan county randy weits,0,1,0
in weekly address president obama discusses progress made combating climate left,1,0,0
cleared incident eb elmwood rd,0,0,1
cleared crash highway westbound exit grant st,0,1,0
reports indicate kkk protesting begins durham streets closed workers dismissed exercise caution,0,1,0
lavar really putting target lonzo back every time speaks,1,0,0
ready church service the greenleaf back amp lot questions answered,1,0,0
cleared accident eb highway high rise bridge chesapeake,0,0,1
helping kids stay active healthy summer nationalnutritionmonth,1,0,0
mfl due power issues shuttle buses operate directions street stations expect delays,0,0,1
honored colombia signing landmark peace agreement marking end war latin america,1,0,0
roadwork highway eastbound mile post exit pa south there traffic disruption,0,1,0
cleared accident in damage new fashion wy clt,0,0,1
updated incident gardenstateparkway nb exit bay ave exit nj,0,1,0
updated disabled west le jeune rd right lane blocked last updated,0,1,0
dealing food loss outage tips removing odors spoiled foods appliances,1,0,0
highway w davidson co vehicle disabled exit haywood ln am est clear am ct,0,0,1
have great pregame speech recorded share play end friday coachandcoordinator,1,0,0
honestly wrong this thing normal human says,1,0,0
rt since move slightly delayed empty library,1,0,0
update roadwork highway southbound exit union deposit rd all lanes closed,0,1,0
vancouver bothways knight st knight st bridge slow traffic,0,0,1
today parisagreement goes effect proud step taken int l community amp energized keep,1,0,0
modesto ca one killed crash highway hammett road,0,1,0
congrats you winner autographed car thanks everyone participated,1,0,0
cleared planned construction orange highway east exit highway blossom trl right lane blocked last updated,0,1,0
incident aline rockaway bound howard airport station,0,1,0
update crash highway westbound exit montour run rd there shoulder closed,0,1,0
looking make little space vegas do ubox see,1,0,0
cleared crash hillsborough highway east ramp exit hillsborough ave rf lanes blocked blocked lanes,0,1,0
the sixth chakra lighthouse knowing as i believe intuition natural,1,0,0
newport news exit ramp eustis blocked due overturned tractor trailer hrtraffic,0,1,0
seen fake news story recently you likely believe next time,1,0,0
cleared roadwork pa southbound intersection garden golf bl on ramp us pa off ramp us pa,0,0,1
central division responding street blockage commerce st e r l thornton ramp eb beat,0,1,0
constructive meeting president putin evening discussed several issues importance russia,1,0,0
mi e hwy delay lt road work wb right ln closed near canyon drive use caution,0,1,0
heavy north hiring heos amp skilled labourers grande prairie apply today clacjobs,1,0,0
cleared incident wb exit new hyde park road exit little neck parkway,0,1,0
updated crash marion highway north exit left lane blocked last updated,0,1,0
made extra special surprise visit new cadet class today get hyped hokies vt vtcc,1,0,0
hot dog styles from around world,1,0,0
