summary,1,2,3
a team dredging employees changing line hoist drum employee pants leg became caught hoist line pulled around hoist drum employee sustained fatal injuries died within next minutes,0,0,1
at approximately december employee mechanic working number boiler house unit second employer the second employer refiner petroleum products employee attempting step open drain sump contained hot substance degrees fahrenheit when attempted step open sump stepped immersed right leg lower thigh employee received burns right leg hospitalized seven days,0,1,0
a power line worker mounting l bracket crossarm utility pole the bracket going hold cutout new transformer as employee tightening two top bolts bracket contacted power line neck he electrocuted,0,1,0
on february employee coworker installing metal decking onto steel beams skylight lobby area towson town center mall this serve containment subsequent asbestos removal employee fell approximately ft steel beams concrete floor he hospitalized university maryland shock trauma center fractured skull fractured nose fractured arms the investigation revealed employee wearing fall protection equipment time accident the coworker returned ground level via scissors lift see caused employee fall,1,0,0
on october mailbox concrete base hoisted small trackhoe the mailbox suspended two nylon slings connected machine one slings attached middle tooth bucket slipped struck employee standing close breaking leg,0,0,1
on july employee working contractor roofing project employee working aluminum scaffold tried adjust scaffold moving one ladders scaffold an aluminum scaffold plank came loose hit employee head killing,0,0,1
on september employee coworker rectangular room cleaning concrete masonry they glycolic acid product rinsing employee died cardiopulmonary arrest precipitated inhalation glycolic acid carbon monoxide the room exhaust ventilation employee carboxyhemoglobin levels used calculate carbon monoxide levels workplace found ppm average duration exposure the coroner ruled death accidental,0,1,0
on june plumber testing piping residence construction the employee inflated rubber cherne long model number designed maximum pressure psi carbon dioxide lb cylinder the cylinder pressure regulator pressure gage during routine plumbers test plumber struck face overinflated rubber test plug catastrophically ruptured he sustained facial injuries damage right eye loss left eye he remained hospitalized three days the employee wearing safety glasses,0,0,1
on october employee working construction project assigned task installing anchors fall protection safety lifeline used roof building construction employee working ladder positioned catwalk contacted live electrical wires employee fell ladder fell approximately feet ceiling building floor employee killed fall,1,0,0
at approximately april employee working inside scissor lift installing soffit nine foot ceiling the employee reaching clamp tools caught lever lift causing lift go backwards turning left pinning soffit the lift continued go reverse tipped employee onto ground employee treated released day,1,0,0
at approximately december employees alpha restoration waterproofing coworker another company riding suspended scaffold survey facade building san francisco ca the scaffold erected installed separate company elevator llc employees operating hoist motors coworker middle platform all three wearing safety harnesses lanyards attached three separate safety lines the suspended scaffold moved upward floor finished work level moved stopping floor slab level floor they paused floor slab level get water table they starting descend left side scaffold hoist adapter strap failed detached left hoist motor causing scaffold collapse service employee pulled safety employee rescued fire escape the coworker suspended harness approximately minutes rescued all three workers taken california pacific medical center additional examination released day,1,0,0
at approximately july employee unbolting connecting plate vertical shore supporting beam the assembly lying side as employee removed lower bolts plate assembly dropped crushing arm the employee hospitalized fractured arm,0,0,1
on march three man crew grinding fallen trees chipper an excavator bucket used swing trees around employee would cut root ball cut shorter lengths a coworker would place chipper employee back excavator operator swung bucket around the operator attempted stop bucket swing tree slid forward striking employee back knocking face first square timbers employee received face head neck injuries died,0,0,1
at approximately march employee century steel erectors checking spacing bar joists while performing detailing work steel frame fell approximately feet ground employee later died hospital unspecified injuries,1,0,0
on june employee coworkers climbed tower height approximately feet begin work the foreman remained ground engaged related tasks employee coworkers installing bolts new diagonal bracing tower approximately two hours later foreman welder site superintendent ground preparing welder climb tower they heard someone yell saw employee falling he fell approximately feet ground killed employee coworkers tower later stated employee lacerated finger one gave piece tape he used seal cut began smoke cigarette employee apparently moved sitting position standing position fell backward tower a coworker observed employee pelican hook lanyard unravel within structure fell there evidence employee tied time accident,1,0,0
employee coworker foreman ft deep excavation they contracted open top cover ft deep manhole fill soil replace cover the workers using jackhammers around two sides top cover center top caved employee fell manhole the coworkers quickly grabbed onto chains attached top cover help remove emergency services responded extracted employee inside manhole he transported university medical center admitted treatment,1,0,0
at approximately july employee several coworkers working echeverria dairy building north cow cover structure the employees roof structure employee screwing metal sheet purlin coworkers moving another approximately sheet place the coworkers ran sheet back legs employee he lost balance fell leading edge approximately feet concrete floor he transported helicopter kern medical center later died,1,0,0
on september employee male employee male employee male nice cool working fourth worker install trane hvac ductwork systems restaurant construction the employees required install hvac system within steel frame the nonstructural steel installed construction suspended ceiling located approximately feet ground after unloading equipment tools employees ascended nonstructural steel frame frame employee employee installing hvac system employee employee putting flex ductwork frame collapsed the four workers fell approximately ft ground paramedics summoned scene transported employee employee employee la county usc medical center treatment injuries received fall,1,0,0
at approximately march employee owner president nash construction standing fiberglass stepladder reach false ceiling he took hold energized power line received electric shock employee sustained injuries required hospitalization subsequent investigation revealed electric line connected metal parts,0,1,0
a carpenter working gutter company hanging piece aluminum gutter feet long he working aluminum extension ladder approximately feet ground suddenly aluminum gutter holding contacted overhead power line energized volts he sustained burns hand chest arms legs around knees he fell approximately feet ground he transported howard county general hospital pronounced dead arrival he electrocuted,0,1,0
on july employee age two coworkers dismantling aluminum pump jack scaffold he lowering pole contacted overhead power electrocuted,0,1,0
on january employee working grounded phase dead ended he cutting wire became part circuit suffered electric shock hospitalized cutting wire caused ground become open this led electrical induction caused employee shocked,0,1,0
at approximately october employee par electrical contractors working lineman part crew installing guards lower parts transmission line tower legs he climbed position approximately feet southeast leg tower id number he attach fall protection positioning system feet slipped he fell approximately feet ground employee landed right side he sustained right wrist fracture back fracture fall right wrist laceration injury contact guard this project part sunrise powerlink transmission line installation par electrical contractors contracted install transmission line towers cables san diego gas electric sdg e an employer representative par electrical contractors reported accident san diego district office october met reporting requirement employer knowledge injury this accident occurred undeveloped private property near japatul valley road barrett reservoir descanso area the employer identified accident location tower location the injured employee transported ambulance helicopter sharp memorial hospital san diego ca hospitalized treated hours,1,0,0
at approximately november employee welder e j rebar two coworkers upper landing stairway north side louis park pedestrian bridge employee wearing full body harness tied lanyard choker attached stairway railing he moving southwest side northwest side leaned railing disconnected structural members he fell ft ground railing section landing top employee died blunt force craniocerebral injuries sustained fall the stairway railing tied permanently secured bolted place the louis park police department report photographs depicted employee position fall his left leg underneath railing right leg railing right foot tangled metal slats railing fresh welding fume shim stair stringer the rail legs shim stringer indicated employee straddling railing weld fell there ladders aerial lifts observed area the toxicology report negative,1,0,0
at approximately october employee employed past years columbia electric working road construction site oakland ca the employee fell stepladder the employee coworkers called emergency response services employee transported highland hospital hospitalized treated multiple rib fractures he hospitalized hours the vice president employer electrical contracting company working san francisco bay area reported accident oakland district office october,1,0,0
on may employee working trench boulder trench wall fell trench pinning opposite wall hours after extricated transported hospital died,0,0,1
at approximately august employee digging trenches alongside farm fields install drain tiles he working alone using ford model tractor backhoe the narrative identify manufacturer tractor backhoe he finished digging four six trenches intended dig run tractor backhoe after run employee able call coworker cell phone indicate injuries severe call ambulance when assistance arrived backhoe running still gear approximately feet meters past location employee run the outriggers backhoe position front bucket rear bucket touching ground several deficiencies found backhoe generally poor working condition the employee died result injuries sustained abdomen,0,0,1
on june employees electrical power installers plus employee work crew superintendent plus coworkers utec constructors corporation installing insulation electrical power transmission lines the lines eight conduits along road nitrogen used insulation an trailer contained tubes nitrogen total volume approximately cubic feet four workers standing around back trailer superintendent standing along left side trailer two workers manhole operating valves hose attached manifold back trailer the superintendent instructed crew open valves he noticed valve manifold line behind nitrogen flow meter leaking he said close valve meaning close valve nitrogen tube instead valve conduit manhole closed closing valve caused buildup pressure as result pressure glass portion flow meter failed shattered when glass shattered employees struck flying glass they transported medical university south carolina musc health employees treated cuts bruises face employee treated cuts left wrist employee admitted overnight stay employees released without hospitalization at time report injured employees continuing recover the subsequent investigation determined nitrogen flow meter manufactured sk micrometer the investigator unable verify model number glass shattered all employees wearing appropriate ppe including hard hats safety glasses work boots the two employees manhole also wearing harnesses lanyards there oxygen meter blower fan hoisting equipment one manhole openings,0,0,1
on october employee joe lambert roofing working residential construction site while removing old shingles roof house back distribution power line supplying power home employee electrocuted,0,1,0
at approximately november employee whitetail welding picking tie straps removed load flatbed truck a steel attached guardrail became unsteady fell striking employee head pinning midsection employee transported hospital later died injuries at time employee another contractor named fell truck struck beam employee hospitalized fractured ankle,0,0,1
