tag,summary
1,at approximately december employee working employer residential construction contractor employee preparing remodel deck residential condominium unit stung bees employee taken advanced industrial care concord california employer treated released at approximately sunday december employee died home according contra costa county coroner report employee died alcohol intoxication
1,on september employee hanging sheetrock basement stung bee he highly allergic bees coworker used epipen effect employee collapsed emergency medical services ems called cpr begun coworker ems arrived employee transported medical facility pronounced dead
1,on may employee president oilfield services operating bulldozer clear brush along fence line ranch he found dead approximately one mile away bulldozer operating employee sustained approximately bee stings the bulldozer engine found tree engine running a swarm bees found approximate vicinity bulldozer
1,at approximately march employee plasterer employed quality plastering working new residential construction site he applying finish coat plaster retaining wall a swarm bees appeared employee attempted run swarm he slipped fell wall incurring serious injury employee transported cottage hospital admitted treated right elbow fracture right arm fracture he required hospitalization three days the employer notified march initiated investigation april it determined employee working company approximately years on day fall performing normal duties working close proximity supervisor coworkers interviews conducted employee supervisor coworkers established report concluded employee fell retaining wall attempted escape swarm bees
1,on september employee paving crew residential site sweeping miscellaneous debris stung bee he later died result reaction bee sting
1,on august employee coworker clearing banks river hurricane debris they workboat outboard motor manually picking debris they encountered wasp nest tree limb attacked wasps they attempting get away wasps took life jackets jumped river employee drowned
1,a crew employees excavating trench utilities new swimming pool they came upon area attributed symptoms exposure area the site former air force base employee coworker developed skin rash employee hospitalized since friday may employee hospitalized determined bitten spider the original narrative gave information employee
1,at approximately august employee flooring contractor helping renovations house he altercation another contractor another worker broke employee contractor met outside back stairs contractor punched employee employee fell backwards stairs sustained injuries
1,on june employee construction laborer received venomous spider bite sp lactrodectus black widow penis using portable toilet the employee transported kern county medical center received inpatient hospitalization seven days result injury complications the sanitary facility provided general contractor developer serviced weekly lessor knight portable toilet plumbing the facility available inspection although photographs provided employer show good condition employees reported facility used recently although serviced day prior event lactrodectus spiders common san joaquin valley prefer undisturbed inactive environment portable toilet a causal factor event identified employer instituted training program increase employee awareness biologic hazards
1,employee using portable toilet site bitten penis spider he treated hospital released the portable toilets site compliance no citation issued
1,on april worker tried activate powder actuated gun loaded hand slipped going front barrel the gun accidentally discharged worker hospitalized several fractured hand bones
1,at approximately april employee kaiser permanente foundation health plan inc sustained serious injury result bitten brown recluse spider right thigh at time incident employee picking pieces plywood resting outer wall sides storage bin located empty lot dense foliage adjacent parking area the spider may crawled torn area jeans knee level employee vacant lot area employees one rooms building performing interior renovation activities employee evaluated injuries kaiser permanente riverside tuesday may subsequently released day however employee went kaiser permanente fontana following day wednesday may due elevated pain fever he evaluated admitted tissue decay employee discharged friday may undergoing treatment
2,on august employees templar construction company specializing fiber optic installation services working along highway the highway speed limit posted miles per hour employee marking location underground line ran turn lane employee next employee performing duties flagger a privately owned vehicle travelling lane the vehicle veered right entered turn lane struck workers emergency medical services called employee declared dead scene employee refused emergency medical treatment bruises received struck
2,on november employee labor california department transportation struck vehicle entered traffic control cones employee launched feet died scene
